timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1633715207561443 0.198879793 0.141316593 -6.818637371 -0.065296501 0.026168188 -0.135225490 0.001317884 -0.005734762 0.000994911 0.999982238 -0.003305369 0.007919172 -0.001760318
1633715207609443 0.196166143 0.141003564 -6.820813179 -0.065716736 0.024280939 -0.134525284 0.001291098 -0.005836878 0.000848878 0.999981821 -0.006436114 0.001302343 -0.000624113
1633715207661516 0.193063051 0.141008064 -6.823999882 -0.065529577 0.021955762 -0.131596223 0.001249952 -0.006013391 0.000800455 0.999980807 -0.003019185 0.011135453 -0.000687837
1633715207709516 0.190110728 0.141109005 -6.825916767 -0.066115797 0.020590283 -0.081343971 0.001158132 -0.007326404 -0.000506379 0.999972463 -0.102615960 0.101280019 0.004625947
1633715207761588 0.186804205 0.141500801 -6.825066566 -0.065515645 0.021049337 -0.013564686 0.001028372 -0.011008537 -0.004303924 0.999929667 -0.166977271 0.163223609 0.007565291
1633715207809588 0.183751330 0.142115757 -6.820374966 -0.063290186 0.024922689 0.089879662 0.000865485 -0.016015409 -0.009308007 0.999828100 -0.251781493 0.252110690 0.005055148
1633715207861660 0.180234328 0.142177552 -6.809432983 -0.055020381 0.033061218 0.198992297 0.000678536 -0.023070313 -0.016114481 0.999603748 -0.254563868 0.267736882 0.007480910
1633715207909660 0.176874056 0.141334131 -6.792575359 -0.044263579 0.043037396 0.335014522 0.000513812 -0.029989269 -0.022541599 0.999295950 -0.286797404 0.304248869 0.004711823
1633715207961732 0.174092352 0.141814500 -6.768131733 -0.026943119 0.060416702 0.466533065 0.000318146 -0.037695061 -0.029726958 0.998847067 -0.251080155 0.269714117 0.007420056
1633715208009732 0.172386274 0.143332228 -6.739263058 -0.009286170 0.078010328 0.620130718 0.000142788 -0.044280782 -0.035666369 0.998382330 -0.258124650 0.274352759 0.010115447
1633715208061805 0.171748117 0.146553233 -6.700600147 0.015624251 0.102239139 0.768107235 -0.000060755 -0.050898332 -0.041767381 0.997830153 -0.211383954 0.223765448 0.007822987
1633715208109805 0.172318056 0.150865570 -6.657452106 0.038109072 0.125601545 0.935311258 -0.000275661 -0.056353871 -0.046772197 0.997314692 -0.214310870 0.227809012 0.013580670
1633715208161877 0.174397334 0.157269716 -6.602641582 0.069305554 0.156977206 1.084304333 -0.000504105 -0.061672933 -0.051609699 0.996761143 -0.155522257 0.171952754 0.014030665
1633715208209877 0.177749634 0.164784580 -6.544856548 0.096800275 0.184648812 1.248541355 -0.000727994 -0.065723367 -0.055225149 0.996308267 -0.152998284 0.167919338 0.012982401
1633715208261950 0.183167398 0.173471659 -6.474315643 0.132827938 0.219204679 1.395432472 -0.001067436 -0.069722526 -0.058759626 0.995833814 -0.114176095 0.129264474 0.015914991
1633715208309950 0.190079242 0.181589574 -6.402763367 0.169673130 0.253117621 1.521368742 -0.001415643 -0.072829619 -0.061549682 0.995442450 -0.125925988 0.136250749 0.020271273
1633715208362022 0.199678108 0.193140358 -6.319138050 0.214434236 0.295256108 1.626938581 -0.001853888 -0.075901948 -0.064378358 0.995033145 -0.085155778 0.094426036 0.013881942
1633715208410022 0.210760131 0.206126362 -6.238025188 0.262728304 0.339163452 1.684102178 -0.002262795 -0.078197204 -0.066676445 0.994703114 -0.108687520 0.097085245 0.015830692
1633715208462094 0.225541785 0.223308012 -6.148091316 0.319951445 0.392339379 1.717406511 -0.002717619 -0.080123000 -0.068707667 0.994410515 -0.044365108 0.041850239 0.018285649
1633715208510094 0.241927132 0.241908386 -6.064002991 0.377214104 0.445045531 1.720461488 -0.003100626 -0.080952190 -0.069764510 0.994268656 -0.047034685 0.035944115 0.013313430
1633715208562167 0.262833506 0.265404880 -5.973348141 0.440221518 0.504375339 1.712075114 -0.003508033 -0.080960035 -0.070122376 0.994241476 0.022275453 -0.030202586 0.014582052
1633715208610167 0.285104454 0.290021479 -5.890547276 0.501066625 0.560082853 1.682817340 -0.003800377 -0.080116689 -0.069474168 0.994354188 0.029192084 -0.033098575 0.008614006
1633715208662238 0.312710375 0.318316162 -5.801559448 0.563647389 0.618205309 1.648885727 -0.004098296 -0.078547500 -0.068068966 0.994575381 0.085508406 -0.089756571 0.009807674
1633715208710238 0.341407895 0.344973028 -5.719615459 0.622375369 0.670017004 1.600493550 -0.004257345 -0.076387390 -0.066009335 0.994881809 0.081204817 -0.089177758 0.006416373
1633715208762311 0.375467241 0.377665818 -5.634181499 0.681085050 0.723861992 1.550788403 -0.004342148 -0.073649980 -0.063433215 0.995255291 0.117601573 -0.129263267 0.000713999
1633715208810311 0.409566075 0.410566956 -5.558210373 0.734768271 0.771326125 1.486088037 -0.004347855 -0.070504382 -0.060687475 0.995654285 0.106675610 -0.131195828 -0.003716349
1633715208862383 0.449202240 0.449416399 -5.479879379 0.786454678 0.817711890 1.421631217 -0.004233273 -0.066805236 -0.057622500 0.996091783 0.134516150 -0.159118548 -0.010011916
1633715208910383 0.488080025 0.487647384 -5.411124229 0.832116365 0.859838128 1.342166185 -0.004071373 -0.062834688 -0.054243866 0.996540427 0.143956587 -0.168744639 -0.006041660
1633715208962455 0.532473922 0.531758130 -5.340918541 0.873899281 0.899682879 1.270444393 -0.003755156 -0.058199156 -0.050140381 0.997038007 0.172051281 -0.191099852 -0.014077834
1633715209010455 0.575270176 0.574421763 -5.279426098 0.909630716 0.932761014 1.184244752 -0.003382095 -0.053313706 -0.045569662 0.997531831 0.205657378 -0.212606758 -0.012993042
1633715209062527 0.624408424 0.620292544 -5.217028141 0.941206038 0.959823847 1.104263544 -0.002949022 -0.047602616 -0.039942533 0.998063147 0.222967565 -0.228085324 -0.014969830
1633715209110527 0.672530115 0.660766304 -5.162941933 0.966361940 0.978311241 1.005781651 -0.002457482 -0.041818026 -0.034223761 0.998535931 0.246668473 -0.250352144 -0.017699886
1633715209162599 0.725255728 0.706902266 -5.110291481 0.984038711 0.991070151 0.915861428 -0.001896606 -0.034984212 -0.027749287 0.999000728 0.239845678 -0.269823968 -0.017507195
