timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1629938489100305 -0.199344009 0.168356836 -1.914991617 0.027629223 -0.026807122 -0.076183639 0.000898870 0.005156826 0.001517393 0.999985158 -0.004723398 0.004430149 -0.000831548
1629938489152305 -0.197696358 0.166920438 -1.915517092 0.025724683 -0.026462713 -0.076127745 0.001043815 0.005096192 0.001266027 0.999985754 -0.044395179 -0.013116866 -0.031775195
1629938489200406 -0.196314648 0.165639028 -1.916277766 0.023900678 -0.025942892 -0.088394031 -0.003128299 0.007371740 -0.001188374 0.999967217 -0.136031181 -0.168705299 0.417755753
1629938489252406 -0.195097923 0.164430350 -1.918045878 0.017453190 -0.019601513 -0.090828672 -0.023129318 0.013119529 -0.006057715 0.999628127 -0.242298514 -0.256927967 1.073660851
1629938489300510 -0.194335908 0.163684145 -1.919552565 0.004706984 -0.005717758 -0.116521083 -0.055862714 0.019990083 -0.017688684 0.998081625 -0.670471966 -0.305813879 1.617614031
1629938489352510 -0.194006994 0.163827211 -1.920303583 -0.019623363 0.028164929 -0.148986369 -0.105566166 0.029633608 -0.038213454 0.993235826 -0.810455263 -0.416304410 2.186206102
1629938489400613 -0.195305362 0.166167513 -1.923738003 -0.059830692 0.084276766 -0.221464306 -0.162588879 0.041118674 -0.062270980 0.983868122 -1.150642037 -0.508184493 2.598917961
1629938489452613 -0.199746653 0.172658071 -1.933272719 -0.132684678 0.177870825 -0.329387426 -0.233769864 0.055102833 -0.090952776 0.966458976 -0.993457258 -0.583267629 2.984022379
1629938489500715 -0.208106458 0.183615834 -1.947685122 -0.235112712 0.288282156 -0.466793478 -0.305182934 0.067229979 -0.116029136 0.942804694 -1.097819686 -0.546577275 3.220728397
1629938489552715 -0.224040180 0.202205613 -1.973144770 -0.392706484 0.432493955 -0.660845578 -0.384914815 0.077069081 -0.139410123 0.909101725 -0.703275919 -0.504222631 3.372061729
1629938489600818 -0.246803597 0.226118132 -2.005518198 -0.567184806 0.567668498 -0.836949944 -0.458117038 0.081040189 -0.156049863 0.871326387 -0.674340844 -0.363978654 3.444540262
1629938489652818 -0.281360537 0.259112179 -2.049686670 -0.766677797 0.700766563 -0.979497015 -0.534878671 0.080140956 -0.170325771 0.823693693 -0.308307767 -0.315034419 3.481035948
1629938489700921 -0.322078198 0.295122892 -2.095918655 -0.968180358 0.818275511 -1.123108268 -0.602170527 0.073362187 -0.179373160 0.774489522 -0.287517577 -0.114631712 3.491430521
1629938489752921 -0.373896569 0.338683933 -2.148733377 -1.169224858 0.928337455 -1.210868478 -0.670029759 0.061118565 -0.187380686 0.715690732 -0.030613411 -0.093529887 3.496275425
1629938489801023 -0.431427389 0.384134471 -2.202735424 -1.364932179 1.032201290 -1.321353674 -0.727480590 0.045609593 -0.192711547 0.656927705 -0.066332906 0.100793883 3.493190527
1629938489853023 -0.504669368 0.439251035 -2.267513514 -1.558705926 1.136953473 -1.390392303 -0.783519804 0.026396455 -0.197954088 0.588399589 0.078795902 0.052478552 3.492399216
1629938489901124 -0.581568480 0.495270669 -2.331532240 -1.747419953 1.241976380 -1.490802646 -0.829449058 0.007089185 -0.200573027 0.521281600 0.023630556 0.158443153 3.476817608
1629938489953124 -0.675225019 0.561857224 -2.406409025 -1.932925701 1.349864483 -1.552317262 -0.871918678 -0.012170310 -0.202275157 0.445751756 0.005381827 -0.002022789 3.344600201
1629938490001228 -0.770547748 0.628527284 -2.479121208 -2.113686323 1.454807401 -1.643441200 -0.903516114 -0.027788844 -0.200682163 0.377641708 -0.007325250 0.010056681 3.065039158
1629938490053228 -0.883624196 0.706441820 -2.562536478 -2.290822268 1.555887580 -1.695076108 -0.929490328 -0.041102756 -0.196838289 0.309213609 -0.067600831 -0.166589692 2.698997498
