timestamp rx ry rz vx vy vz qx qy qz qw r p y 
44679525840 0.020646933 -0.006349974 -2.055355310 -0.009442745 0.007169235 0.055507261 0.000677706 0.003318585 -0.003892797 0.999986768 0.008892315 -0.002578804 0.000556643
44679573840 0.021030085 -0.005573693 -2.054716349 -0.009629934 0.007083030 0.084393829 0.001086353 -0.004183575 0.000518376 0.999990523 0.529244781 0.949002743 -0.051905654
44679625840 0.021761760 -0.005143623 -2.053866148 0.023855962 -0.011560402 -0.044598579 0.003341648 -0.051245976 0.023161981 0.998411953 0.915215969 2.147408247 -0.100648887
44679673840 0.025879007 -0.006643019 -2.064453840 0.136843190 -0.069143541 -0.330977112 0.005370077 -0.098078690 0.040463187 0.994341254 0.615352452 1.859954715 -0.085145950
44679725840 0.038953710 -0.012632090 -2.094678879 0.336114436 -0.159512416 -0.629095197 0.007107217 -0.146790996 0.056504264 0.987526894 0.579481483 1.853811145 -0.082031280
44679773840 0.061013132 -0.022550760 -2.133805037 0.540808260 -0.244494691 -0.757681668 0.008203971 -0.182653189 0.066299722 0.980905116 0.210057512 1.077315211 -0.068089403
44679825840 0.095525555 -0.037540611 -2.178552151 0.755551934 -0.324936450 -0.788781047 0.008610289 -0.189811498 0.062603489 0.979784846 -0.384428233 -0.351483762 -0.058048971
44679873840 0.136649683 -0.054677337 -2.220189095 0.928263485 -0.382011890 -0.784326613 0.008525605 -0.171036184 0.050014969 0.983957529 -0.588861406 -1.090244770 -0.040325142
44679925840 0.189251259 -0.075740844 -2.264019251 1.074986935 -0.423385650 -0.767943442 0.008052939 -0.138100773 0.034069620 0.989799261 -0.641843617 -1.461528659 -0.017992619
44679973840 0.243848041 -0.096701257 -2.304872513 1.182797194 -0.445309788 -0.804639459 0.007173627 -0.095445409 0.014780233 0.995299041 -0.899582982 -2.026088715 -0.009374982
44680025840 0.307231098 -0.119907312 -2.350525618 1.239233375 -0.442340106 -0.841618598 0.006044716 -0.043320112 -0.008113565 0.999010086 -0.793578386 -1.904999733 -0.010987247
44680073840 0.366954803 -0.140638322 -2.393536091 1.240339279 -0.419351399 -0.850495279 0.005093315 -0.003058697 -0.024101883 0.999691844 -0.546115518 -1.455736399 0.001270291
44680125840 0.430651963 -0.161369562 -2.444176435 1.199041128 -0.375751257 -0.918443263 0.004302348 0.034456279 -0.039203539 0.998627782 -0.617744327 -1.478045821 -0.013197857
44680173840 0.486659825 -0.178207934 -2.494231939 1.125549793 -0.322512478 -0.965149045 0.003989680 0.066622399 -0.053239156 0.996348917 -0.498146266 -1.169749141 -0.023780309
44680225840 0.542693436 -0.193361014 -2.548657656 1.023181438 -0.257514060 -0.964618862 0.004001291 0.089573905 -0.062518418 0.994008124 -0.240768135 -0.630204558 -0.024568995
44680273840 0.589307308 -0.204242393 -2.598656178 0.907873154 -0.189364523 -0.984713197 0.004264209 0.101385631 -0.066932552 0.992583930 -0.237941429 -0.540438116 -0.033112269
44680325840 0.632935464 -0.212053597 -2.654695034 0.762651086 -0.106432579 -1.034111261 0.005108485 0.117833719 -0.075209543 0.990168035 -0.333341956 -0.625673473 -0.055250432
44680373840 0.666458786 -0.215409100 -2.707702160 0.626941621 -0.028877793 -1.034832239 0.006103952 0.129594445 -0.080964208 0.988237262 -0.168712348 -0.357753009 -0.049292907
