timestamp rx ry rz vx vy vz qx qy qz qw r p y 
50781744197 0.016121760 0.018942874 -1.943902612 -0.005500454 -0.015565283 -0.053278361 0.000839893 0.002609853 -0.004208830 0.999987483 -0.005318037 -0.001247220 -0.000401443
50781791888 0.016471369 0.018679956 -1.945012331 -0.006536401 -0.015612872 -0.127840206 0.000874619 0.002672388 -0.004242322 0.999987066 0.008510789 0.005807533 -0.000466990
50781843888 0.016594494 0.018352255 -1.958698034 -0.008081039 -0.013862516 -0.458435833 0.000917000 0.000648567 -0.002444264 0.999996364 0.185832620 0.307362378 -0.003800329
50781891888 0.016803822 0.017937554 -1.981433272 0.003678693 -0.020576358 -0.591524601 0.001437090 -0.022936795 0.008767858 0.999697447 0.641025066 1.505475998 -0.032704677
50781943888 0.019008331 0.016710134 -2.017443180 0.076483086 -0.055557176 -0.887245774 0.002495521 -0.069630802 0.026329048 0.997222304 0.669186294 1.995033622 -0.049833581
50781991888 0.026530523 0.014457035 -2.063294888 0.215334669 -0.113556758 -1.137198806 0.003808614 -0.120893329 0.043968108 0.991684020 0.772628069 2.179284573 -0.068886720
50782043888 0.043588851 0.007894300 -2.124576092 0.419038564 -0.195301428 -1.291321397 0.005475194 -0.170309916 0.060087971 0.983541608 0.491372198 1.590075254 -0.077316970
50782091888 0.068876579 -0.002037737 -2.185081720 0.613261819 -0.269827217 -1.317316771 0.006765940 -0.191714600 0.064675249 0.979294121 -0.072857760 0.283972025 -0.073076509
50782143888 0.106398553 -0.016889434 -2.251230717 0.809779346 -0.339998901 -1.296226621 0.007642611 -0.182384089 0.056593679 0.981567502 -0.438818574 -0.824862301 -0.062826000
50782191888 0.149137616 -0.033448089 -2.310422897 0.955509424 -0.386982799 -1.249436736 0.008114601 -0.156505331 0.044055372 0.986660779 -0.553477168 -1.273353815 -0.043370996
50782243888 0.202455252 -0.053727575 -2.373192787 1.087037086 -0.422895014 -1.242192626 0.007999302 -0.116369791 0.026430335 0.992822051 -0.821635127 -1.870741606 -0.028949633
50782291888 0.256708115 -0.073657751 -2.431674957 1.164163947 -0.433793992 -1.257865310 0.007336161 -0.068100952 0.004533448 0.997641265 -0.902802587 -2.047660589 -0.019113546
50782331888 0.303831041 -0.090408616 -2.480592251 1.188204885 -0.426657587 -1.258095980 0.006758588 -0.029721733 -0.011782947 0.999466002 -0.737941444 -1.805385470 -0.011854643
50782391888 0.373218089 -0.115122691 -2.551842213 1.169814110 -0.394220024 -1.260998368 0.005825804 0.015607171 -0.029651510 0.999421477 -0.539102197 -1.374990225 -0.002841017
50782431888 0.418071240 -0.130308822 -2.600509405 1.126751661 -0.359738499 -1.298840284 0.005418140 0.043811399 -0.041773200 0.998151422 -0.605439126 -1.386748910 -0.013928262
50782491888 0.481340319 -0.150045872 -2.675776243 1.025917530 -0.292277277 -1.314228654 0.005179684 0.078497939 -0.057245351 0.995255828 -0.396407545 -0.894069731 -0.019780532
50782531888 0.519947708 -0.160875201 -2.725797892 0.945004225 -0.243494511 -1.291573167 0.005184906 0.091726638 -0.062932283 0.993780136 -0.215950176 -0.483936071 -0.015226267
50782591888 0.571140170 -0.173006296 -2.801712036 0.790904462 -0.152144507 -1.340173602 0.005673284 0.108576842 -0.071282178 0.991512954 -0.361991256 -0.683790028 -0.036681227
50782631888 0.600008786 -0.177940458 -2.854112148 0.679417610 -0.087349847 -1.355996609 0.006312669 0.121450715 -0.078000888 0.989507794 -0.289520353 -0.580352306 -0.043145824
50782691888 0.635146916 -0.180549353 -2.932600021 0.513586879 0.006989304 -1.323524237 0.007350021 0.132566631 -0.082955763 0.987669230 -0.070996873 -0.189728633 -0.038903791
50782731888 0.652801931 -0.178993642 -2.984786272 0.382961839 0.080444030 -1.355726480 0.008111680 0.138232186 -0.085435808 0.986674666 -0.209870145 -0.422414929 -0.051065207
50782791888 0.673041046 -0.174084947 -3.064629078 0.182260990 0.194139451 -1.390296698 0.009597257 0.153184816 -0.092863575 0.983777761 -0.218462333 -0.454599202 -0.060357060
50782831888 0.680134892 -0.167203918 -3.118201017 0.054286487 0.264918029 -1.369770885 0.010563198 0.159903795 -0.095367938 0.982458293 -0.073846094 -0.229613647 -0.058177643
50782891888 0.680711627 -0.151161104 -3.197058678 -0.147899762 0.375673264 -1.358608127 0.011845157 0.163810521 -0.095854037 0.981752515 -0.093131527 -0.216285080 -0.051774614
50782931888 0.673595846 -0.136269897 -3.250829458 -0.298341513 0.456557006 -1.388982296 0.012856348 0.170685962 -0.099067308 0.980248272 -0.197499931 -0.398458242 -0.058289349
50782991888 0.651652038 -0.107663140 -3.332608700 -0.509904802 0.571406245 -1.375697374 0.014379589 0.179275110 -0.102194145 0.978371143 -0.025156694 -0.148363143 -0.054917775
50783043888 0.622189701 -0.077121779 -3.402198553 -0.696527123 0.670661926 -1.365013957 0.015462443 0.180659205 -0.101742372 0.978147089 -0.032823857 -0.104095481 -0.044302881
50783091888 0.585718036 -0.043961134 -3.467619181 -0.883896589 0.769883394 -1.395367742 0.016580069 0.185909405 -0.104189426 0.976886630 -0.124157660 -0.256735235 -0.051420353
50783131888 0.548443139 -0.012602052 -3.522796154 -1.030323982 0.847432911 -1.388024449 0.017411729 0.189531878 -0.105566941 0.976027787 -0.028017959 -0.102229573 -0.041662946
50783191888 0.484402925 0.042051446 -3.605863094 -1.226371288 0.951546788 -1.327785492 0.018346952 0.187337533 -0.103396729 0.976666331 0.140870824 0.233709991 -0.026469156
50783231888 0.434700519 0.081965849 -3.659817934 -1.369349480 1.027012706 -1.337984085 0.018831668 0.184158862 -0.101461977 0.977464259 0.033275645 0.060690336 -0.023507124
50783291888 0.348983169 0.147395074 -3.741679907 -1.577579618 1.136096597 -1.350036025 0.019498738 0.184644058 -0.101411477 0.977364957 0.023883151 0.004080175 -0.019413313
50783331888 0.284993947 0.194407061 -3.795595407 -1.700219989 1.199926853 -1.323385835 0.019692881 0.182870850 -0.099994160 0.977840304 0.108065017 0.171468601 -0.007761854
50783391888 0.179643154 0.269538313 -3.874635220 -1.885584593 1.295314908 -1.311661601 0.019708283 0.176588655 -0.096089587 0.979385018 0.070330769 0.133649632 0.001258867
50783431888 0.102870241 0.322854131 -3.927824259 -2.009628534 1.359501600 -1.322364569 0.019690750 0.175058007 -0.095372282 0.979730129 0.033198886 0.067539684 0.006971834
50783491888 -0.021271260 0.407326937 -4.006845951 -2.173709631 1.444434762 -1.292500377 0.019465359 0.170573324 -0.092709959 0.980780721 0.150437251 0.254781008 0.015571515
50783531888 -0.109432243 0.466291755 -4.058174610 -2.277741909 1.496917486 -1.277808785 0.019120015 0.164533541 -0.089259699 0.982138455 0.158284023 0.299326479 0.018143388
50783591888 -0.243435860 0.563502431 -4.136975288 -2.428867579 1.577286720 -1.293379307 0.018637782 0.157821879 -0.086147025 0.983526111 0.100775473 0.209933683 0.024653764
50783631888 -0.337414831 0.630980074 -4.189771175 -2.515923023 1.624159455 -1.280244946 0.018202260 0.152665898 -0.083527453 0.984573543 0.167348251 0.308796316 0.028741419
50783691888 -0.485405564 0.734682322 -4.266941071 -2.627420425 1.682230711 -1.238042474 0.017153071 0.140612692 -0.076666996 0.986942768 0.263414055 0.462413520 0.042231243
50783731888 -0.588333011 0.805300832 -4.317544460 -2.699894667 1.718945384 -1.244434714 0.016342649 0.132129729 -0.071911842 0.988485456 0.221491933 0.399806470 0.040515568
50783791888 -0.748506129 0.913178861 -4.393272877 -2.790519238 1.763235807 -1.238338470 0.014988990 0.120224714 -0.065206274 0.990489542 0.249444097 0.431303859 0.051003978
50783843888 -0.891972065 1.007969141 -4.457406521 -2.849651337 1.790224910 -1.208902478 0.013617920 0.107989021 -0.058147255 0.992356718 0.297084510 0.516371489 0.052899070
50783891888 -1.027181149 1.096440196 -4.515672207 -2.896578550 1.809494853 -1.215397716 0.012323221 0.095250376 -0.051122066 0.994063437 0.288194746 0.548962295 0.054046322
50783931888 -1.141777277 1.170452714 -4.564375877 -2.925143003 1.818903804 -1.218003750 0.011156268 0.084116012 -0.045259144 0.995365083 0.297754109 0.566908777 0.063336074
50783991888 -1.312203526 1.287397623 -4.637893200 -2.945784092 1.824986100 -1.198619366 0.009523161 0.066680670 -0.036124449 0.997074783 0.311893255 0.588589549 0.053484630
50784031888 -1.426356435 1.365434647 -4.686120987 -2.947164297 1.823643327 -1.187776804 0.008470815 0.054719958 -0.029856758 0.998019338 0.335091442 0.631502569 0.052971609
50784091888 -1.598121762 1.481093764 -4.758708000 -2.932093143 1.811028481 -1.203581452 0.006967642 0.033449519 -0.018392619 0.999246895 0.410063684 0.749626756 0.047954548
50784131888 -1.712275743 1.556965232 -4.807996273 -2.906206608 1.793330789 -1.243424058 0.006117263 0.015694808 -0.008852937 0.999818981 0.541652024 1.024456739 0.045908447
50784191888 -1.881357670 1.668161273 -4.884741783 -2.834735394 1.748246551 -1.292746902 0.005176939 -0.018085876 0.009111816 0.999781489 0.584621906 1.122963786 0.027531836
50784231888 -1.991570115 1.740073442 -4.936744690 -2.766688585 1.707539082 -1.297664165 0.004784646 -0.038635131 0.019842239 0.999045014 0.484099507 0.937011182 0.021801166
50784291888 -2.151662588 1.843895674 -5.014030457 -2.642715216 1.632542253 -1.277194142 0.004315028 -0.061374974 0.032350704 0.997581065 0.363985032 0.628431797 0.009608257
50784331888 -2.254287481 1.910113454 -5.064616680 -2.549460888 1.576785684 -1.258396029 0.004191505 -0.072406419 0.039309733 0.996591508 0.335561156 0.512324333 0.006731058
50784391888 -2.401036739 2.010106564 -5.138578892 -2.399037600 1.487922788 -1.222762704 0.004364987 -0.085934140 0.049331591 0.995069206 0.307604790 0.385965973 -0.003595893
50784431888 -2.493956327 2.073618174 -5.186540127 -2.294182777 1.424667001 -1.191734672 0.004566560 -0.092345588 0.054766901 0.994209230 0.261142492 0.288310379 -0.004370571
50784491888 -2.625703573 2.162895441 -5.256023884 -2.133387804 1.324336410 -1.136016846 0.005137314 -0.100414194 0.062420238 0.992972434 0.235240042 0.243869781 -0.011985667
50784531888 -2.708329439 2.218344450 -5.300184727 -2.024703026 1.254352689 -1.094966769 0.005558340 -0.104284257 0.066372216 0.992314875 0.161286786 0.152934879 -0.008740946
50784591888 -2.824355125 2.295379639 -5.363207817 -1.862383723 1.147793651 -1.030213237 0.006061774 -0.106579497 0.069503635 0.991853476 0.079596221 0.045101825 -0.008368732
50784631888 -2.896454811 2.342678547 -5.402996063 -1.756276846 1.076884151 -0.982031703 0.006498757 -0.108991928 0.072130233 0.991400898 0.189032555 0.195065424 -0.017931284

50791731888 -0.018093752 -0.006460842 -2.115873337 -0.017474897 0.038448274 0.091860875 0.000606103 -0.000373995 -0.001095340 0.999999166 0.000419303 0.009424391 0.000208148
50791783888 -0.021770988 -0.004300701 -2.113062382 -0.013096360 0.035485595 0.090140626 0.000599050 -0.000613766 -0.001104429 0.999999046 -0.000334609 0.008910630 -0.001430500
50791831888 -0.024708960 -0.002410374 -2.110534668 -0.008596684 0.033046741 0.087841928 0.000599974 -0.000760335 -0.001101347 0.999998927 -0.001049623 0.003888442 -0.002360039
50791883888 -0.027077962 -0.000499435 -2.107595682 -0.004030061 0.030541452 0.086098276 0.000600000 -0.000850917 -0.001073906 0.999998927 0.000288335 0.003233216 0.003831521
50791931888 -0.028883833 0.001128547 -2.105227232 -0.000087123 0.026745103 0.084399156 0.000634761 -0.000848145 -0.001077405 0.999998927 -0.000747554 -0.001293506 -0.000886788
50791991888 -0.033782642 0.002250777 -2.103342772 0.003479101 0.022011595 0.080022216 0.000618464 -0.000701458 -0.001080114 0.999999046 0.000630761 -0.007879015 -0.001150236
50792031888 -0.036830273 0.002812965 -2.102141380 0.006093155 0.019124862 0.077340946 0.000597572 -0.000626984 -0.001129101 0.999999046 -0.006003621 -0.002570048 0.002111067
50792083888 -0.039919514 0.003459711 -2.100363016 0.009501373 0.015602913 0.075282983 0.000596907 -0.000568301 -0.001392278 0.999998689 -0.009366143 0.004141974 -0.001799611
50792131888 -0.042323697 0.003944706 -2.099122524 0.013231231 0.012387824 0.072781503 0.000571483 -0.000565252 -0.001624983 0.999998391 -0.011062438 0.001585697 -0.001015282
50792183888 -0.043995753 0.004387538 -2.097596884 0.017999595 0.009688452 0.071540095 0.000546549 -0.000621903 -0.001896034 0.999997854 -0.010522895 0.004054274 -0.001222781
50792231888 -0.045128450 0.004737476 -2.096174240 0.021550514 0.007748756 0.071115315 0.000578726 -0.000598216 -0.002139667 0.999997377 -0.012725731 0.000289246 -0.000547090
50792291888 -0.045722496 0.005085930 -2.094276190 0.026539976 0.005193118 0.070494391 0.000599589 -0.000432264 -0.002397071 0.999996841 -0.004621928 -0.009790449 -0.001762922
50792331888 -0.045699857 0.005271795 -2.093244076 0.030407863 0.003972999 0.070387527 0.000572858 -0.000301733 -0.002468193 0.999996781 -0.004672782 -0.007377367 0.002367366
50792383888 -0.048513576 0.005709738 -2.093258142 0.032678481 0.002124768 0.069536582 0.000584662 0.000023033 -0.002576966 0.999996603 -0.007366126 -0.013779939 -0.000727152
50792431888 -0.051454872 0.006122354 -2.096299410 0.034215830 0.001518072 -0.120254174 0.000564412 0.000362198 -0.002509334 0.999996722 0.016907504 -0.009746701 -0.000030082
50792483888 -0.053430330 0.006487085 -2.113944530 0.038723066 -0.000470282 -0.379228294 0.000685497 -0.006263388 0.001572566 0.999978900 0.375392765 0.734384835 -0.012869504
50792531888 -0.054324064 0.006492381 -2.138645172 0.067439750 -0.015818911 -0.569750965 0.001414156 -0.038286984 0.015628526 0.999143600 0.653568745 1.681653500 -0.038291652
50792583888 -0.051279079 0.004896159 -2.178545237 0.166711286 -0.060832009 -0.861073434 0.002577614 -0.087460279 0.033064429 0.995615780 0.721858442 2.099010944 -0.057603613
50792631888 -0.041888244 0.000709293 -2.228204250 0.328748405 -0.128041595 -1.091677666 0.004052773 -0.139060080 0.050706942 0.988976657 0.698668182 2.077128410 -0.078528129
50792683888 -0.021275852 -0.007840562 -2.290547848 0.539012313 -0.210972890 -1.194648862 0.005901560 -0.181638539 0.063734442 0.981280088 0.289157808 1.149638534 -0.085272223
