timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1630022789466546 -0.006610258 0.004041508 -6.813095570 -0.009591742 0.000600045 -0.137546137 0.001122852 0.001054058 0.001840100 0.999997199 0.003163640 0.002003554 0.002529318
1630022789518546 -0.008743498 0.002419330 -6.823755741 -0.008885317 0.001421689 -0.143077657 0.001132032 0.001239519 0.001624252 0.999997258 -0.068046868 -0.061294001 0.000862817
1630022789566615 -0.010607272 0.001076657 -6.835548401 -0.010256974 0.004646202 -0.218024790 0.001276234 0.007751005 -0.005407253 0.999954522 -0.451994330 -0.429848224 -0.010491347
1630022789618615 -0.012652056 0.000448655 -6.851613522 -0.023279846 0.021662755 -0.298249483 0.001725602 0.020608833 -0.018287936 0.999618948 -0.540212333 -0.552642941 -0.023049042
1630022789666683 -0.015515691 0.001182101 -6.871747494 -0.054343909 0.056154180 -0.429779440 0.002322939 0.037432346 -0.035113249 0.998679399 -0.798490047 -0.793554485 -0.027534138
1630022789718683 -0.020615667 0.004682378 -6.899427414 -0.111626826 0.118101925 -0.553108156 0.003171325 0.057165924 -0.053992968 0.996898651 -0.691193461 -0.737057090 -0.034506593
1630022789766752 -0.028615242 0.011534022 -6.932372570 -0.191652149 0.202836365 -0.710087240 0.004080441 0.075824499 -0.072106779 0.994502246 -0.770109892 -0.783533275 -0.042367406
1630022789818752 -0.041800983 0.023728814 -6.974487305 -0.294361323 0.310171604 -0.824601531 0.005209380 0.092670538 -0.087923042 0.991793633 -0.490148902 -0.545629442 -0.046756681
1630022789866821 -0.059280206 0.039187346 -7.019912720 -0.414251745 0.432185799 -0.974589825 0.006444802 0.105686575 -0.100149184 0.989322543 -0.514871299 -0.529227972 -0.061284959
1630022789918821 -0.084612958 0.063106671 -7.075314045 -0.547727108 0.567891538 -1.083773375 0.007909906 0.116021685 -0.109870054 0.987119615 -0.279277503 -0.296007246 -0.054829981
1630022789966890 -0.114695594 0.092105933 -7.132923126 -0.693207026 0.714020610 -1.238721132 0.009350319 0.123681620 -0.117335662 0.985316098 -0.335150272 -0.328618109 -0.059808180
1630022790018890 -0.154844865 0.131633729 -7.201676369 -0.844141781 0.867002845 -1.348494291 0.010823003 0.129693061 -0.122993767 0.983837008 -0.142983332 -0.152241617 -0.056435682
1630022790066959 -0.199336097 0.175734013 -7.271525860 -1.002372503 1.025462389 -1.503580809 0.012283693 0.134320766 -0.127466172 0.982628882 -0.223129913 -0.208466336 -0.062316012
1630022790118959 -0.255626261 0.232014269 -7.353386879 -1.160307765 1.185640335 -1.609550714 0.013768336 0.137791842 -0.130623758 0.981713474 -0.060212310 -0.070589758 -0.055339471
1630022790167028 -0.315277189 0.291847944 -7.435777187 -1.322238445 1.348427057 -1.761954069 0.015098014 0.140550584 -0.133145005 0.980963826 -0.142308220 -0.142310143 -0.056293976
1630022790219028 -0.387860030 0.364872783 -7.531710148 -1.481002569 1.509218931 -1.864894629 0.016387466 0.142617494 -0.134752288 0.980425179 -0.008233247 -0.016499478 -0.046936315
1630022790267096 -0.461428344 0.438682318 -7.627895355 -1.640390038 1.668845654 -2.008833408 0.017455557 0.144019812 -0.135822281 0.980054021 -0.082105219 -0.080298118 -0.045119245
1630022790319096 -0.549506187 0.527354956 -7.737628937 -1.794247746 1.824310064 -2.101218462 0.018427450 0.144582152 -0.135967776 0.979933321 0.045357231 0.035436012 -0.035737649
1630022790367165 -0.638229012 0.616794050 -7.844323635 -1.945569754 1.977009773 -2.232082129 0.019141397 0.144542396 -0.135684311 0.979964733 -0.016218446 -0.011980716 -0.028082801
1630022790419165 -0.742234349 0.721822083 -7.964896202 -2.092486620 2.124047279 -2.319627047 0.019737463 0.143603891 -0.134517506 0.980251729 0.087103218 0.081102587 -0.018304711
1630022790467234 -0.845247269 0.825850010 -8.081327438 -2.232414246 2.264027357 -2.434090376 0.020096501 0.142207578 -0.133011058 0.980653524 0.052414626 0.055062164 -0.014820987
1630022790507234 -0.935969472 0.917519450 -8.181121826 -2.330929995 2.363173723 -2.475749254 0.020278709 0.140154064 -0.130884588 0.981231332 0.164557561 0.166935682 -0.008914793
1630022790567302 -1.079568982 1.062692761 -8.334950447 -2.480442047 2.513031244 -2.579544544 0.020258300 0.135200679 -0.125996143 0.982565701 0.149000928 0.165881172 0.007412329
1630022790619302 -1.210385203 1.195178628 -8.472147942 -2.588968515 2.622484446 -2.620778322 0.019962600 0.129807562 -0.120834634 0.983946383 0.241424099 0.257909536 0.013629750
1630022790667371 -1.334314704 1.321470261 -8.602785110 -2.684245348 2.717727661 -2.684959650 0.019524138 0.123828776 -0.115143232 0.985407174 0.231645972 0.253727973 0.019086534
1630022790707371 -1.441165209 1.430222273 -8.712939262 -2.749983072 2.783480883 -2.703124762 0.019024260 0.118278526 -0.109937541 0.986692548 0.293155551 0.314847201 0.032130130
1630022790767440 -1.606447816 1.598328829 -8.879377365 -2.837827682 2.872270346 -2.747830153 0.018017728 0.108403727 -0.100559704 0.988843679 0.322850019 0.341951489 0.039394565
1630022790807440 -1.719508767 1.713236690 -8.991210938 -2.882876635 2.917387247 -2.749177933 0.017196858 0.101075724 -0.093594901 0.990317166 0.370643437 0.389694184 0.046402782
1630022790867508 -1.892408252 1.888828754 -9.158816338 -2.937235594 2.970576525 -2.755129814 0.015696414 0.088299163 -0.081342503 0.992643178 0.434662282 0.461317092 0.051771872
1630022790907508 -2.009355307 2.007532120 -9.270131111 -2.959965229 2.993586302 -2.737427950 0.014621068 0.078885742 -0.072193205 0.994158685 0.466095477 0.490255058 0.056095388
1630022790967577 -2.186193705 2.187008858 -9.434968948 -2.975250483 3.009545088 -2.697713137 0.012854460 0.062570728 -0.056560077 0.996353686 0.571056604 0.602644801 0.060555197
1630022791007577 -2.304459572 2.307025433 -9.543246269 -2.973887205 3.008011580 -2.659126043 0.011637853 0.050496791 -0.044892240 0.997646928 0.598552167 0.625446975 0.058125861
1630022791067646 -2.478502512 2.488023281 -9.704520226 -2.951390266 2.988765240 -2.589080095 0.009904803 0.030907260 -0.025774390 0.999140859 0.666908205 0.679857194 0.054918677
1630022791107646 -2.593873024 2.607691765 -9.809297562 -2.924185753 2.962918520 -2.533528328 0.008837250 0.017156715 -0.012252994 0.999738753 0.656583488 0.668094039 0.051154185
1630022791167714 -2.764893770 2.784762859 -9.961433411 -2.866294622 2.907392263 -2.439749241 0.007404573 -0.003323467 0.008051413 0.999934673 0.691009223 0.699251115 0.044537310
1630022791207714 -2.877004147 2.900674820 -10.059519768 -2.816811800 2.859851599 -2.370230675 0.006600562 -0.016481407 0.021245465 0.999616683 0.634002149 0.637121379 0.033975765
1630022791267783 -3.041450977 3.070530176 -10.200922012 -2.729263544 2.773645401 -2.255528927 0.005771000 -0.034716077 0.040028688 0.998578608 0.615495503 0.596848547 0.018487092
1630022791307783 -3.148191929 3.180645466 -10.291084290 -2.662332058 2.706786156 -2.175116062 0.005408893 -0.045860350 0.051728494 0.997593045 0.546682596 0.523200750 0.011889516
1630022791367852 -3.303311586 3.340478897 -10.419858932 -2.552783966 2.596743345 -2.041101217 0.005187316 -0.060646284 0.067444682 0.995864689 0.504694402 0.485707313 0.000741903
1630022791407852 -3.403092623 3.443197012 -10.501183510 -2.473055601 2.516467094 -1.951603055 0.005264913 -0.069558568 0.076956667 0.994591236 0.431775093 0.412188381 -0.010701995
1630022791467921 -3.547859669 3.592980385 -10.620478630 -2.348016500 2.389976263 -1.806734681 0.005604601 -0.081307501 0.089454390 0.992650867 0.414888114 0.393102497 -0.019604292
1630022791507921 -3.640121222 3.688301086 -10.694561005 -2.259561777 2.300207853 -1.711068630 0.006034248 -0.088475756 0.096939340 0.991331697 0.347516805 0.329795837 -0.025657710
1630022791567990 -3.771883011 3.824236155 -10.797637939 -2.125452995 2.163121223 -1.554502249 0.006866401 -0.097977839 0.106820613 0.989415288 0.331441790 0.311755240 -0.039914608
1630022791607990 -3.855181456 3.910024405 -10.860695839 -2.030856371 2.067128658 -1.454087138 0.007573809 -0.103808269 0.112736955 0.988158345 0.273916811 0.268491149 -0.040352929
1630022791668058 -3.973016262 4.031233788 -10.946884155 -1.888243318 1.921936750 -1.291997313 0.008723134 -0.111476585 0.120295204 0.986420810 0.252438068 0.252099901 -0.045692306
1630022791708058 -4.046755314 4.106996536 -10.998793602 -1.789056182 1.820163369 -1.191515446 0.009630270 -0.116045810 0.124688298 0.985339344 0.194226190 0.201164603 -0.050492533
1630022791768127 -4.149957180 4.212875843 -11.068282127 -1.641746044 1.669342041 -1.030595899 0.011035419 -0.121471800 0.129977167 0.983986199 0.178791419 0.171383768 -0.051681578
1630022791808127 -4.213808060 4.278283119 -11.109088898 -1.539849043 1.565497160 -0.933679819 0.011939868 -0.124471620 0.132825583 0.983220100 0.121487126 0.121606827 -0.043001689
1630022791868197 -4.305138588 4.369527340 -11.166309357 -1.390060782 1.411313772 -0.780874133 0.013269737 -0.127472103 0.135569736 0.982443690 0.085724555 0.082671821 -0.046521720
1630022791908197 -4.360703945 4.425011158 -11.199089050 -1.287355304 1.305689216 -0.691507757 0.014095724 -0.128657803 0.136613458 0.982133031 0.029969690 0.036507223 -0.038771532
1630022791968266 -4.436041832 4.500197411 -11.240684509 -1.137019873 1.151905298 -0.550618410 0.015196924 -0.128988460 0.136697292 0.982061625 -0.011365050 -0.014718204 -0.034259457
1630022792008266 -4.481022835 4.545053482 -11.263414383 -1.035034418 1.047821879 -0.468109071 0.015789635 -0.128312379 0.135853827 0.982257843 -0.059858788 -0.061113957 -0.027262092
1630022792068335 -4.540725231 4.604481697 -11.290671349 -0.888783991 0.896341383 -0.343474984 0.016476832 -0.125508398 0.132846743 0.983019829 -0.131543085 -0.133945689 -0.016214302
1630022792108335 -4.575499535 4.638978481 -11.304571152 -0.791236043 0.795530975 -0.274715871 0.016771520 -0.122496106 0.129725486 0.983811319 -0.175669208 -0.173226357 -0.011364288
1630022792168404 -4.620238304 4.683213234 -11.320178986 -0.650556982 0.651798010 -0.178274408 0.016915144 -0.115945436 0.122996561 0.985465646 -0.266528457 -0.271689266 0.006806140
1630022792208404 -4.645295143 4.707919121 -11.327516556 -0.559031367 0.559405267 -0.128973901 0.016783759 -0.110199988 0.117277436 0.986823320 -0.300993204 -0.307583511 0.016226595
1630022792268474 -4.680952072 4.736449718 -11.337488174 -0.433234155 0.427196890 -0.073323838 0.016289169 -0.099008344 0.106323600 0.989256024 -0.424464077 -0.440986365 0.026881732
1630022792308474 -4.700102806 4.751309395 -11.342326164 -0.355536312 0.346142590 -0.049083102 0.015761955 -0.090046711 0.097580746 0.991020262 -0.440257698 -0.453884065 0.038747579
1630022792368543 -4.722553253 4.767918110 -11.348298073 -0.249766603 0.236382246 -0.042108677 0.014739258 -0.074230433 0.081929840 0.993760586 -0.590998769 -0.604202271 0.045753319
1630022792408543 -4.733835220 4.775663376 -11.351844788 -0.190174758 0.175413266 -0.045753337 0.013899028 -0.062133864 0.069998443 0.995513141 -0.574331701 -0.601769447 0.051734991
1630022792468612 -4.746124744 4.783182144 -11.358190536 -0.115652606 0.099430650 -0.101129122 0.012477087 -0.041174512 0.049533788 0.997845471 -0.772726476 -0.795264006 0.058952503
1630022792508612 -4.751886845 4.786076069 -11.364182472 -0.082781993 0.066048153 -0.139153436 0.011468853 -0.025734257 0.034499772 0.999007523 -0.702714026 -0.738635421 0.058509205
1630022792568682 -4.758338928 4.788652420 -11.375175476 -0.058465101 0.039603829 -0.174298808 0.009903676 -0.007572968 0.017311083 0.999772489 -0.442322969 -0.485018402 0.058730464
1630022792608682 -4.761874199 4.789776325 -11.383230209 -0.053328522 0.032749694 -0.183871090 0.008848613 -0.000265522 0.010361623 0.999907196 -0.265235752 -0.274657458 0.058448017
1630022792668751 -4.770644665 4.787808895 -11.395359993 -0.053557053 0.027164405 -0.185109094 0.007361665 0.003560288 0.006141024 0.999947786 -0.041998435 -0.012772312 0.049887381
1630022792708751 -4.775962353 4.786663532 -11.403186798 -0.053872872 0.024382247 -0.180330008 0.006407811 0.002597160 0.006265556 0.999956489 0.037659407 0.093561798 0.049218826
1630022792768820 -4.783239365 4.785105228 -11.414486885 -0.052298866 0.018510383 -0.168576851 0.005156816 -0.001643556 0.008549652 0.999948800 0.096271157 0.168643326 0.040264241
1630022792808820 -4.787560463 4.784056664 -11.421629906 -0.048224509 0.012442680 -0.160486788 0.004430103 -0.004968948 0.010353648 0.999924302 0.083183534 0.161752596 0.032175984
1630022792868889 -4.793076992 4.782297134 -11.431735992 -0.037194908 0.001766146 -0.146961734 0.003467649 -0.009178333 0.012586173 0.999872684 0.057981461 0.116137363 0.030402204
1630022792908889 -4.796020031 4.780945301 -11.437894821 -0.027269978 -0.006365288 -0.137617439 0.002906052 -0.011031180 0.013350761 0.999845803 0.024623517 0.068602189 0.028261758
1630022792968959 -4.799247265 4.778569221 -11.446328163 -0.010541627 -0.018165622 -0.123413682 0.002197735 -0.012164794 0.013509867 0.999832392 -0.013957876 0.010408939 0.022779845
1630022793008959 -4.800615311 4.776765347 -11.451596260 0.001004855 -0.025168089 -0.115934923 0.001742950 -0.012001275 0.013062897 0.999841154 -0.027560521 -0.025551096 0.021504531
1630022793069028 -4.806610584 4.770762920 -11.460783958 0.014264997 -0.036586940 -0.105549432 0.001321446 -0.010781030 0.012052775 0.999868393 -0.038809117 -0.047094081 0.013049547
1630022793109028 -4.809542179 4.766794205 -11.466299057 0.022739561 -0.043135326 -0.098677680 0.001092584 -0.009770339 0.011225191 0.999888718 -0.042304326 -0.053213157 0.014422941
1630022793169098 -4.812591553 4.760892391 -11.473670006 0.033360720 -0.051236875 -0.088579625 0.000859905 -0.008447013 0.009909885 0.999914885 -0.043305743 -0.035387576 0.009310853
1630022793209098 -4.813803673 4.756993294 -11.477949142 0.040241893 -0.055881444 -0.081460461 0.000732803 -0.007797447 0.009144994 0.999927580 -0.037001781 -0.027961483 0.006188646
1630022793269167 -4.814566135 4.751174450 -11.483728409 0.049125064 -0.062464707 -0.072239600 0.000571095 -0.007283471 0.008010566 0.999941289 -0.038464952 -0.012997795 0.007965839
1630022793309167 -4.814411163 4.747338295 -11.487189293 0.055606816 -0.065240949 -0.066449448 0.000473256 -0.007130551 0.007394983 0.999947190 -0.027136046 -0.002798749 0.005684267
1630022793361237 -4.813413620 4.742467403 -11.490971565 0.063508935 -0.068564460 -0.059299752 0.000365871 -0.007010233 0.006755977 0.999952614 -0.024393680 -0.005381023 0.003666770
1630022793409237 -4.811942577 4.737929821 -11.494207382 0.070824280 -0.071376987 -0.053185415 0.000299900 -0.006831969 0.006271502 0.999957025 -0.015438196 -0.010139268 0.003345330
1630022793461306 -4.811864376 4.730257034 -11.499281883 0.077585608 -0.074742638 -0.048160899 0.000281455 -0.006578308 0.005872302 0.999961138 -0.011669103 -0.009170877 0.002351345
1630022793509306 -4.811192513 4.723295212 -11.503558159 0.083806880 -0.077454470 -0.043302666 0.000301313 -0.006240092 0.005508894 0.999965370 -0.018733861 -0.010589674 0.003191638
1630022793561376 -4.809378147 4.716404438 -11.507740974 0.090198107 -0.079123765 -0.038238600 0.000317886 -0.005839527 0.004972041 0.999970555 -0.018800555 -0.013880039 0.002933360
1630022793609376 -4.807209015 4.710193634 -11.511225700 0.095521934 -0.079688117 -0.032371704 0.000316685 -0.005498609 0.004467050 0.999974847 -0.022086693 -0.015648119 0.003087180
