timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1630007523127577 -0.024178777 -0.051442962 -1.984595060 0.007394294 0.039092764 -0.024683638 -0.000569261 0.003022908 -0.001288392 0.999994457 -0.007782062 0.003834069 -0.003548525
1630007523179652 -0.024398319 -0.050015643 -1.984295011 0.007185455 0.037730910 -0.025225179 -0.000510807 0.002978198 -0.001357949 0.999994576 -0.005609822 0.000383566 -0.001310980
1630007523227652 -0.024571208 -0.048613943 -1.984083414 0.007933772 0.036761779 -0.024898846 -0.000471471 0.002971311 -0.001463642 0.999994457 0.002931517 -0.001163175 -0.000347640
1630007523279726 -0.024607452 -0.046969622 -1.983063459 0.008033186 0.035228059 0.019332219 -0.000583779 0.006615893 0.002854544 0.999973953 0.344148874 -0.295709252 0.004305987
1630007523327726 -0.024729777 -0.045561392 -1.979364991 0.002285364 0.026849583 0.077140108 -0.000854714 0.016535977 0.013770781 0.999768078 0.508532822 -0.479964972 0.016924459
1630007523379799 -0.025294967 -0.044621680 -1.971471906 -0.012956880 0.007854354 0.180394456 -0.001417328 0.032666158 0.030640349 0.998995602 0.755824089 -0.749098897 0.023940904
1630007523427799 -0.026389470 -0.044498578 -1.957026958 -0.039875653 -0.024361478 0.271265715 -0.002143133 0.051409215 0.049626037 0.997441590 0.755576670 -0.770735562 0.029934760
1630007523479872 -0.029369356 -0.046444822 -1.936555624 -0.080589809 -0.070667572 0.399896026 -0.003147847 0.072101153 0.069904022 0.994939744 0.825525045 -0.838063478 0.044238541
1630007523527872 -0.034312136 -0.050665323 -1.911851168 -0.133287087 -0.128583282 0.510314226 -0.004256269 0.091416873 0.088369049 0.991874874 0.696118414 -0.738854587 0.050786834
1630007523579945 -0.042819895 -0.058652323 -1.879144192 -0.198922798 -0.198665366 0.658529937 -0.005597757 0.109852389 0.105227314 0.988346338 0.666106105 -0.709111869 0.061225165
1630007523627945 -0.053957481 -0.069401346 -1.842259288 -0.273424745 -0.275123298 0.781802595 -0.007030558 0.125328049 0.119212091 0.984902024 0.506668329 -0.563374877 0.071492516
1630007523680018 -0.070210651 -0.085376114 -1.795750022 -0.356538594 -0.361530572 0.940876722 -0.008810651 0.138968527 0.131110847 0.981539667 0.474780530 -0.521389544 0.079883613
1630007523728018 -0.089244440 -0.104249068 -1.745750904 -0.445233166 -0.453045219 1.068648219 -0.010741441 0.150140673 0.140860230 0.978519797 0.346956283 -0.392754287 0.086333342
1630007523780092 -0.114854597 -0.129806563 -1.684900880 -0.544176579 -0.552756727 1.221103311 -0.013055914 0.159962207 0.149238110 0.975689352 0.357396871 -0.387787342 0.099192582
1630007523828092 -0.143916383 -0.155173317 -1.621736884 -0.644631386 -0.652164340 1.346924067 -0.015394334 0.168394089 0.156529129 0.973090529 0.264793426 -0.290305704 0.100714497
1630007523880165 -0.181287721 -0.189324260 -1.548058748 -0.776700079 -0.783032298 1.426490784 -0.018015040 0.176463038 0.163270473 0.970504582 0.320306838 -0.339034796 0.108930349
1630007523928165 -0.222180068 -0.227308735 -1.476944447 -0.911580026 -0.915876150 1.476463556 -0.020572336 0.183392122 0.169250235 0.968141794 0.193001017 -0.204826072 0.106022991
1630007523980239 -0.274152994 -0.276623785 -1.398439765 -1.076446652 -1.078304768 1.490386844 -0.023348048 0.188548252 0.173293501 0.966371536 0.178849548 -0.192782387 0.108792290
1630007524028239 -0.329848498 -0.329863787 -1.325651526 -1.232486248 -1.231940150 1.497175813 -0.025777580 0.191876054 0.175714806 0.965216756 0.038526908 -0.039478764 0.099944055
1630007524080312 -0.398767799 -0.396502048 -1.247234106 -1.410047770 -1.408246398 1.476555347 -0.028079674 0.192744151 0.175604120 0.964999795 0.013689107 -0.019635212 0.085174352
1630007524128312 -0.470472395 -0.466100007 -1.175638676 -1.569362998 -1.565385342 1.463152766 -0.029800912 0.192327023 0.174461037 0.965238690 -0.102178365 0.106596313 0.064961560
1630007524180386 -0.556816339 -0.550423920 -1.099485040 -1.745721698 -1.739379168 1.423770666 -0.031203190 0.189861387 0.171506017 0.966211557 -0.083054960 0.101297662 0.050566938
1630007524228386 -0.647542298 -0.633070946 -1.029460907 -1.901316881 -1.888330698 1.397739172 -0.032115210 0.186831668 0.168495774 0.967301369 -0.164983228 0.197128534 0.029503083
1630007524280461 -0.753426254 -0.731524944 -0.955839992 -2.066397667 -2.047397852 1.351260066 -0.032664884 0.181933790 0.164224789 0.968949616 -0.135397360 0.196817175 0.009716418
1630007524328461 -0.858355820 -0.829656184 -0.889815927 -2.205959797 -2.182729483 1.322144032 -0.032770988 0.176715702 0.160295695 0.970568419 -0.198969662 0.277570873 -0.014991351
1630007524380536 -0.978915036 -0.943898559 -0.820265293 -2.352204084 -2.326447248 1.272309422 -0.032415770 0.169508770 0.154898733 0.972739697 -0.208608791 0.289212972 -0.026599944
1630007524428536 -1.096522808 -1.055865407 -0.757871926 -2.473102331 -2.446964502 1.240014195 -0.031714059 0.162083462 0.149281174 0.974904299 -0.280481786 0.364142954 -0.046965566
1630007524480611 -1.229888320 -1.184030294 -0.692836881 -2.596637726 -2.570400000 1.183499098 -0.030513870 0.152279183 0.141561061 0.977670908 -0.310921043 0.403789192 -0.060163014
1630007524528611 -1.358259439 -1.307812452 -0.635114372 -2.694674969 -2.670144320 1.141878128 -0.029078266 0.142161086 0.133303091 0.980395317 -0.388408601 0.464840680 -0.073321603
1630007524580686 -1.502077341 -1.447489619 -0.575440824 -2.790860891 -2.768762827 1.075496674 -0.027168704 0.129148290 0.122174777 0.983695030 -0.460530221 0.544560790 -0.087335624
1630007524628686 -1.639715672 -1.577192903 -0.523028374 -2.862441778 -2.840160370 1.024150610 -0.025046378 0.115650609 0.110388957 0.986819148 -0.515889406 0.594397008 -0.099870920
1630007524668761 -1.756567836 -1.688338757 -0.481751889 -2.912614107 -2.890363455 0.963135421 -0.023078617 0.102990717 0.099034943 0.989470780 -0.613218188 0.677926898 -0.104039825
1630007524728761 -1.934730291 -1.858935237 -0.424763262 -2.963323355 -2.942153692 0.880294383 -0.019985991 0.081564866 0.079576433 0.993285179 -0.659567118 0.747905552 -0.113124005
1630007524780836 -2.090702772 -2.009406805 -0.379913747 -2.984298229 -2.965215206 0.791990817 -0.017132625 0.061157443 0.060812518 0.996126592 -0.777299285 0.824921370 -0.113404125
1630007524828836 -2.235004187 -2.148995399 -0.342390567 -2.979922295 -2.963232994 0.725537002 -0.014608821 0.041414987 0.042068932 0.998149157 -0.758151293 0.812261343 -0.106471077
1630007524868912 -2.354646444 -2.265299082 -0.313641995 -2.961464167 -2.947724581 0.662768960 -0.012559467 0.025192475 0.026661126 0.999248147 -0.776684105 0.828762174 -0.100230075
1630007524928912 -2.531893015 -2.438297749 -0.274772972 -2.908072233 -2.898698092 0.588805497 -0.009749537 0.001887651 0.004351646 0.999941230 -0.675238907 0.708763957 -0.090879790
1630007524968988 -2.647835732 -2.551868677 -0.251216561 -2.856719255 -2.850805283 0.536627114 -0.008091930 -0.011975212 -0.008999689 0.999855101 -0.656530321 0.684934974 -0.079473704
1630007525028988 -2.819583654 -2.713567734 -0.216570333 -2.763858318 -2.758551836 0.482137710 -0.006003016 -0.030597735 -0.026916768 0.999151349 -0.508042336 0.542342424 -0.055660013
1630007525069063 -2.930754185 -2.818053484 -0.195209935 -2.690355301 -2.685788155 0.442791969 -0.004905758 -0.040776059 -0.036628332 0.998484671 -0.472353458 0.507880092 -0.046692435
1630007525129063 -3.091322899 -2.969972134 -0.166111559 -2.569226265 -2.567438364 0.401458681 -0.003718642 -0.054543093 -0.049476989 0.997277975 -0.352421254 0.405756176 -0.028781470
1630007525169114 -3.193919420 -3.067706347 -0.148400664 -2.480187893 -2.482170582 0.370432854 -0.003231012 -0.062392082 -0.056507453 0.996445537 -0.358823240 0.396993518 -0.012577651
1630007525229114 -3.339712143 -3.207482815 -0.125250965 -2.286156416 -2.292867661 0.280406654 -0.003179149 -0.064162865 -0.057600971 0.996270657 0.674946308 -0.652929723 0.018708643
1630007525269190 -3.430280209 -3.294826031 -0.112952136 -2.175623894 -2.187717915 0.237760872 -0.003799438 -0.051814262 -0.045000516 0.997635126 0.541702271 -0.595215738 0.059287921
1630007525329190 -3.557589769 -3.418471336 -0.098788492 -2.018782854 -2.038608551 0.156483069 -0.006057200 -0.036380660 -0.032199349 0.998800814 0.345556259 -0.436918765 0.081846826
