timestamp rx ry rz vx vy vz qx qy qz qw r p y 
51420783915 0.004965500 0.024367105 -2.075956106 0.001633288 -0.028914463 0.077136293 0.000719121 -0.000823530 -0.004070425 0.999991119 -0.002972304 -0.001515381 -0.001977308
51420831644 0.004935164 0.023881929 -2.079331398 0.001851688 -0.026313139 -0.113846011 0.000761079 -0.000707190 -0.003875458 0.999991953 0.032266781 -0.009961878 0.000882520
51420883644 0.004940583 0.023276992 -2.099120378 0.002319516 -0.024444681 -0.489687175 0.000767546 -0.002416747 -0.001671616 0.999995470 0.117737547 0.147791609 -0.003381890
51420931644 0.005073382 0.022618137 -2.130593538 0.009103507 -0.028425345 -0.635869741 0.001102633 -0.018590134 0.005894404 0.999809265 0.553745925 1.297735929 -0.029825045
51420983644 0.006462108 0.021137211 -2.169226885 0.062498543 -0.052911926 -0.778170824 0.002647722 -0.072195970 0.026845727 0.997025669 0.907679617 2.499509573 -0.076656625
51421031644 0.012569491 0.017582625 -2.215747595 0.205308795 -0.114066251 -1.023191810 0.004630664 -0.130501911 0.046723824 0.990335703 0.727321565 2.201602221 -0.098730333
51421083644 0.028126944 0.009957503 -2.274713755 0.400779754 -0.190851524 -1.131014228 0.006227444 -0.170022070 0.056624018 0.983792424 0.127330109 0.940581203 -0.077766761
51421131644 0.051622368 -0.000140314 -2.332725763 0.589798093 -0.258007169 -1.172519803 0.007009480 -0.178816020 0.054999348 0.982319057 -0.200732097 -0.054859590 -0.055277217
51421183644 0.086351529 -0.013810471 -2.396317244 0.771226645 -0.316108763 -1.173958540 0.007332602 -0.166852430 0.046463829 0.984859228 -0.455608249 -0.866363227 -0.037723288
51421231644 0.126361981 -0.028887214 -2.455737352 0.918162763 -0.355854601 -1.197593093 0.006969163 -0.133772433 0.029601311 0.990545392 -0.857760072 -1.771412253 -0.035336267
51421283644 0.176348716 -0.046951044 -2.520666838 1.019480944 -0.371315837 -1.208285809 0.006134292 -0.084548950 0.006780939 0.996377349 -0.828091264 -1.924890637 -0.020691559
